"visiting_team","home_team","week","day","date","wiki_visitor","wiki_home","wiki_diff"
"Steelers","Patriots",1,"Thursday",2015-09-10 20:30:00,72.9242,83.5322,10.608
"Packers","Bears",1,"Sunday",2015-09-13 13:00:00,91.0903,28.9111,-62.1792
"Colts","Bills",1,"Sunday",2015-09-13 13:00:00,78.7696,48.4706,-30.299
"Panthers","Jaguars",1,"Sunday",2015-09-13 13:00:00,50.4359,9.52955,-40.90635
"Browns","Jets",1,"Sunday",2015-09-13 13:00:00,20.339,27.887,7.548
"Seahawks","Rams",1,"Sunday",2015-09-13 13:00:00,91.0867,42.0307,-49.056
"Dolphins","Redskins",1,"Sunday",2015-09-13 13:00:00,57.9202,13.7972,-44.123
"Chiefs","Texans",1,"Sunday",2015-09-13 13:00:00,58.0986,50.6555,-7.44309999999999
"Saints","Cardinals",1,"Sunday",2015-09-13 16:05:00,42.7689,63.9423,21.1734
"Lions","Chargers",1,"Sunday",2015-09-13 16:05:00,52.046,56.3702,4.3242
"Ravens","Broncos",1,"Sunday",2015-09-13 16:25:00,70.5379,76.6355,6.0976
"Titans","Buccaneers",1,"Sunday",2015-09-13 16:25:00,17.5174,18.481,0.963600000000003
"Bengals","Raiders",1,"Sunday",2015-09-13 16:25:00,49.3734,22.155,-27.2184
"Giants","Cowboys",1,"Sunday",2015-09-13 20:30:00,40.4206,72.8814,32.4608
"Eagles","Falcons",1,"Monday",2015-09-14 19:10:00,57.7576,44.0722,-13.6854
"Vikings","49ers",1,"Monday",2015-09-14 22:20:00,56.7237,30.5814,-26.1423
"Broncos","Chiefs",2,"Thursday",2015-09-17 20:25:00,76.6355,58.0986,-18.5369
"Cardinals","Bears",2,"Sunday",2015-09-20 13:00:00,63.9423,28.9111,-35.0312
"Chargers","Bengals",2,"Sunday",2015-09-20 13:00:00,56.3702,49.3734,-6.9968
"Patriots","Bills",2,"Sunday",2015-09-20 13:00:00,83.5322,48.4706,-35.0616
"Titans","Browns",2,"Sunday",2015-09-20 13:00:00,17.5174,20.339,2.8216
