"season","week","kickoff","home_team","home_score","visitors_score","visiting_team","netscore","homewin","date","wiki_home","wiki_visitor","wiki_diff"
2013,1,"2013-09-05T19:30:00-05:00","Broncos",49,27,"Ravens",22,1,"2013-09-05",82.5243,77.193,5.3313
2013,1,"2013-09-08T12:00:00-05:00","Bears",24,21,"Bengals",3,1,"2013-09-08",56.6038,46.9565,9.6473
2013,1,"2013-09-08T12:00:00-05:00","Bills",21,23,"Patriots",-2,0,"2013-09-08",31.7308,84.8739,-53.1431
2013,1,"2013-09-08T12:00:00-05:00","Browns",10,23,"Dolphins",-13,0,"2013-09-08",16.9231,38.0531,-21.13
2013,1,"2013-09-08T12:00:00-05:00","Colts",21,17,"Raiders",4,1,"2013-09-08",48,12.9032,35.0968
2013,1,"2013-09-08T12:00:00-05:00","Jaguars",2,28,"Chiefs",-26,0,"2013-09-08",15.2381,27.8351,-12.597
2013,1,"2013-09-08T12:00:00-05:00","Jets",18,17,"Buccaneers",1,1,"2013-09-08",25.1968,39.1304,-13.9336
2013,1,"2013-09-08T12:00:00-05:00","Lions",34,24,"Vikings",10,1,"2013-09-08",50,46.4286,3.5714
2013,1,"2013-09-08T12:00:00-05:00","Panthers",7,12,"Seahawks",-5,0,"2013-09-08",28.972,83.6066,-54.6346
2013,1,"2013-09-08T12:00:00-05:00","Saints",23,17,"Falcons",6,1,"2013-09-08",75,80.4124,-5.41240000000001
2013,1,"2013-09-08T12:00:00-05:00","Steelers",9,16,"Titans",-7,0,"2013-09-08",56.9106,22.0339,34.8767
2013,1,"2013-09-08T15:25:00-05:00","49ers",34,28,"Packers",6,1,"2013-09-08",82.2034,79.845,2.3584
2013,1,"2013-09-08T15:25:00-05:00","Rams",27,24,"Cardinals",3,1,"2013-09-08",33.9806,42.1488,-8.1682
2013,1,"2013-09-08T19:30:00-05:00","Cowboys",36,31,"Giants",5,1,"2013-09-08",47.8632,63.964,-16.1008
2013,1,"2013-09-09T18:10:00-05:00","Redskins",27,33,"Eagles",-6,0,"2013-09-09",48.6957,37.8151,10.8806
2013,1,"2013-09-09T21:20:00-05:00","Chargers",28,31,"Texans",-3,0,"2013-09-09",40.4959,74.2647,-33.7688
2013,2,"2013-09-12T19:25:00-05:00","Patriots",13,10,"Jets",3,1,"2013-09-12",84.8739,25.1968,59.6771
2013,2,"2013-09-15T12:00:00-05:00","Bears",31,30,"Vikings",1,1,"2013-09-15",56.6038,46.4286,10.1752
2013,2,"2013-09-15T12:00:00-05:00","Bills",24,23,"Panthers",1,1,"2013-09-15",31.7308,28.972,2.7588
2013,2,"2013-09-15T12:00:00-05:00","Chiefs",17,16,"Cowboys",1,1,"2013-09-15",27.8351,47.8632,-20.0281
2013,2,"2013-09-15T12:00:00-05:00","Colts",20,24,"Dolphins",-4,0,"2013-09-15",48,38.0531,9.9469
2013,2,"2013-09-15T12:00:00-05:00","Eagles",30,33,"Chargers",-3,0,"2013-09-15",37.8151,40.4959,-2.6808
2013,2,"2013-09-15T12:00:00-05:00","Falcons",31,24,"Rams",7,1,"2013-09-15",80.4124,33.9806,46.4318
2013,2,"2013-09-15T12:00:00-05:00","Packers",38,20,"Redskins",18,1,"2013-09-15",79.845,48.6957,31.1493
2013,2,"2013-09-15T12:00:00-05:00","Ravens",14,6,"Browns",8,1,"2013-09-15",77.193,16.9231,60.2699
2013,2,"2013-09-15T12:00:00-05:00","Texans",30,24,"Titans",6,1,"2013-09-15",74.2647,22.0339,52.2308
2013,2,"2013-09-15T15:05:00-05:00","Buccaneers",14,16,"Saints",-2,0,"2013-09-15",39.1304,75,-35.8696
